Source,Target,Weight20192,Weight20201,Weight20202
r41840,r41844,0.6038,0.5282,0.5367
r419,r6889,0.3074,0.3337,0.3219
r45851,z915,0.4717,0.4891,0.4662
s0231xa,s0240ca,0.4119,0.2967,0.4308
s0231xd,s0240cd,0.2579,0.2628,0.3638
s0240ca,s0240ea,0.3407,0.4511,0.3877
s0240da,s0240fa,0.3332,0.4186,0.3572
s0240dd,s0240fd,0.0869,0.1811,0.3621
s0240ea,s02841a,0.1341,0.2998,0.3216
s02611a,s02612a,0.40399999999999997,0.1263,0.3921
s061x1a,s064x1a,0.1664,0.0926,0.3018
s061x7a,s065x7a,0.3978,0.4274,0.4205
s061x7a,s066x7a,0.4053,0.4919,0.4175
s065x1a,s066x1a,0.4195,0.4665,0.4557
s065x7a,s066x7a,0.5055,0.5428,0.4048
s065x9a,s066x9a,0.2927,0.324,0.3253
s065x9d,s066x9d,0.3941,0.2502,0.35700000000000004
s12301a,s12401a,0.2635,0.1,0.3288
s12400a,s12500a,0.3063,0.2542,0.4086
s12400d,s12500d,0.1926,0.4194,0.3457
s12490a,s12590a,0.3077,,0.3421
s12490d,s12590d,0.1499,,0.3642
s12500a,s12600a,0.3223,0.447,0.3567
s12500d,s12600d,0.3131,0.3569,0.4346
s12590a,s12690a,0.3398,0.265,0.3681
s12590d,s12690d,0.43700000000000006,0.4311,0.3865
s12590d,s22018d,0.1457,,0.4983
s12600d,s22019d,0.2378,0.2833,0.304
s12690d,s22018d,0.0909,,0.43
s22018a,s22028a,0.4888,0.3664,0.4802
s22019a,s22029a,0.3098,0.3026,0.3674
s22020a,s22030a,0.38799999999999996,0.5322,0.3642
s22028a,s22038a,0.4778,0.3998,0.3793
s22030a,s22040a,0.4742,0.4,0.3748
s22038a,s22048a,0.3847,0.3101,0.5862
s22038a,s22058a,0.2719,0.1789,0.3149
s22039a,s22049a,0.4261,0.4189,0.3595
s22039d,s22049d,0.4863,0.5082,0.375
s22048a,s22058a,0.4092,0.431,0.45799999999999996
s22049d,s22059d,0.3792,0.3997,0.4413
s22049d,s22069d,0.0816,0.2288,0.3764
s22049d,s22079d,0.0816,0.133,0.3812
s22050a,s22060a,0.2076,0.2941,0.3659
s22058a,s22068a,0.3332,0.2643,0.4633
s22059d,s22069d,0.3057,0.3185,0.4078
s22059d,s22079d,0.191,0.2116,0.3265
s22068a,s22078a,0.2599,0.3553,0.4281
s22069a,s22079a,0.2386,0.2135,0.315
s22069d,s22079d,0.2759,0.3054,0.5362
s22078a,s22088a,0.121,0.2364,0.3548
s31819a,s31829a,0.4796,,0.3211
s32018a,s32028a,0.4823,0.4402,0.4939
s32018a,s32038a,0.3883,0.3377,0.3468
s32018a,s32048a,0.2427,0.2646,0.3291
s32018d,s32028d,0.29100000000000004,0.45399999999999996,0.4678
s32019a,s32029a,0.4286,0.3813,0.3844
s32019a,s32039a,0.327,0.301,0.3081
s32019d,s32029d,0.4209,0.3571,0.3454
s32028a,s32038a,0.5013,0.4893,0.6024
s32028a,s32048a,0.3266,0.3612,0.4701
s32029a,s32039a,0.5219,0.5231,0.4913
s32029d,s32039d,0.4893,0.52,0.4914
s32038a,s32048a,0.5177,0.5282,0.6442
s32038a,s32058a,0.2216,0.2256,0.3379
s32039a,s32049a,0.4766,0.5055,0.4463
s32039d,s32049d,0.4919,0.4534,0.4245
s32040a,s32050a,0.1174,,0.3326
s32048a,s32058a,0.389,0.3956,0.4576
s32049a,s32059a,0.3292,0.3155,0.3404
s32049d,s32059d,0.431,0.4097,0.3214
s32421a,s73014a,0.2856,0.2263,0.3641
s32431a,s32441a,0.20800000000000002,0.2838,0.3054
s32432a,s32442a,0.3264,0.4231,0.4005
s40021d,s40022d,0.7692,0.5369,0.3197
s40811a,s40812a,0.392,0.4691,0.4777
s40811d,s40812d,0.7093,0.5827,0.6811
s41101a,s41102a,0.3177,0.1599,0.3536
s41111d,s41112d,0.3343,0.3455,0.36700000000000005
s5011xa,s5012xa,0.18,0.2178,0.373
s50811d,s50812d,0.556,0.4667,0.37200000000000005
s52202d,s5292xd,0.1259,,0.4706
s52572a,s52612a,0.2659,0.1456,0.3074
s60511a,s60512a,0.39299999999999996,0.526,0.4725
s61511d,s61512d,0.5022,0.4002,0.3582
s70311a,s70312a,0.2896,0.3667,0.3318
s71111d,s71112d,0.4846,0.5035,0.6201
s80211a,s80212a,0.5444,0.5403,0.5179
s80211d,s80212d,0.5089,0.3846,0.5373
s80811a,s80812a,0.5357,0.6232,0.5155
s80811d,s80812d,0.5531,0.4757,0.3234
s80861a,s80862a,0.5215,,0.5488
s81811d,s81812d,0.2606,0.3381,0.3712
s82201b,s82401b,0.4087,0.4527,0.4489
s82201d,s82401d,0.2855,0.4085,0.3032
s82202b,s82402b,0.4315,0.4261,0.5145
s82202d,s82402d,0.4445,0.3483,0.5289
s82251a,s82451a,0.2896,0.3764,0.3011
s82252b,s82452b,0.3621,0.2587,0.4121
s83241a,s83281a,0.1383,0.2767,0.395
s90811a,s90812a,0.5,0.5718,0.4258
s90821a,s90822a,0.5399,0.5537,0.6123
s91301a,s91302a,0.2717,0.2249,0.3697
