Source,Target,Weight20201
d631,z9981,0.0735
d638,d6959,0.0625
d638,d696,0.0656
d638,e1122,0.0702
d638,e1142,0.0514
d638,e1151,0.0501
d638,e1165,0.0518
d638,e43,0.0868
d638,e440,0.0581
d638,e46,0.0614
d638,e8339,0.0603
d638,e8342,0.0701
d638,e860,0.0508
d638,e871,0.0744
d638,e872,0.0667
d638,e875,0.0667
d638,e876,0.0585
d638,e8770,0.0527
d638,g9341,0.0642
d638,i120,0.0525
d638,i129,0.0588
d638,i130,0.0612
d638,i2720,0.0509
d638,i959,0.0518
d638,j90,0.0607
d638,j9621,0.0596
d638,k766,0.0605
d638,n170,0.0555
d638,n179,0.0659
d638,n186,0.0675
d638,n390,0.0551
d638,r188,0.0539
d638,r6521,0.0583
d638,z515,0.0661
d638,z66,0.0635
d638,z681,0.071
d638,z794,0.0536
d638,z992,0.068
d638,z9981,0.0506
d6481,d6959,0.0865
d6481,d701,0.1298
d6481,d709,0.0556
d6481,g620,0.061
d6481,g893,0.093
d6481,r5081,0.0992
d6481,t451x5a,0.2901
d6481,z5111,0.2478
d6481,z95828,0.0609
d649,d696,0.0947
d649,d72829,0.0642
d649,e039,0.1232
d649,e1122,0.0968
d649,e1165,0.0916
d649,e119,0.0878
d649,e6601,0.069
d649,e669,0.0866
d649,e7800,0.0694
d649,e785,0.1347
d649,e8342,0.101
d649,e860,0.1071
d649,e871,0.1548
d649,e872,0.1302
d649,e875,0.0775
d649,e876,0.1612
d649,f0390,0.0584
d649,f17210,0.0915
d649,f329,0.1087
d649,f419,0.1024
d649,g4733,0.0696
d649,g8929,0.0947
d649,g9341,0.0808
d649,i10,0.1285
d649,i110,0.0913
d649,i129,0.09
d649,i130,0.0602
d649,i2510,0.1315
d649,i252,0.0597
d649,i2720,0.0548
d649,i480,0.0883
d649,i4891,0.0806
d649,i509,0.0529
d649,i959,0.0689
d649,j189,0.0953
d649,j441,0.0503
d649,j449,0.0887
d649,j45909,0.0648
d649,j90,0.0511
d649,j9601,0.1141
d649,j9621,0.059
d649,j9811,0.0501
d649,k219,0.1255
d649,k5900,0.0762
d649,m1990,0.0669
d649,n179,0.1537
d649,n189,0.0624
d649,n390,0.1056
d649,n400,0.0656
d649,o9902,0.1213
d649,r1310,0.0508
d649,r6521,0.0547
d649,z20828,0.0798
d649,z370,0.0998
d649,z3a39,0.0563
d649,z515,0.0636
d649,z66,0.1194
d649,z7901,0.1144
d649,z7902,0.0642
d649,z794,0.1087
d649,z7982,0.1241
d649,z7984,0.0831
d649,z79890,0.0537
d649,z79899,0.1274
d649,z86718,0.0528
d649,z8673,0.0711
d649,z87891,0.1255
d649,z9049,0.0657
d649,z951,0.056
d649,z955,0.0651
d649,z9981,0.0619
d65,k7200,0.0765
d67,f71,0.0561
d6832,m7981,0.0602
d6832,t45515a,0.3213
d6832,t45525a,0.16
d684,d6959,0.1492
d684,e8809,0.0594
d684,f1021,0.0555
d684,i8510,0.1529
d684,i8511,0.1135
d684,k3189,0.1533
d684,k652,0.0802
d684,k7010,0.0581
d684,k7011,0.1203
d684,k7030,0.1246
d684,k7031,0.2719
d684,k7040,0.1338
d684,k7200,0.1038
d684,k7290,0.1962
d684,k7460,0.072
d684,k7469,0.0601
d684,k7581,0.0734
d684,k766,0.2539
d684,k767,0.1735
d684,k920,0.0613
d684,n170,0.0526
d684,r188,0.074
d684,r578,0.0692
d6851,d6859,0.0505
d6851,o9912,0.0952
d6859,o9912,0.0507
d6861,m3214,0.0592
d6862,m3214,0.0505
d689,d6959,0.0654
d689,d696,0.0667
d689,e870,0.0522
d689,e8809,0.0502
d689,i8510,0.0571
d689,k3189,0.0641
d689,k7030,0.0744
d689,k7031,0.1071
d689,k7200,0.1016
d689,k7290,0.1021
d689,k7460,0.0656
d689,k766,0.1263
d689,k767,0.0546
d689,n170,0.0698
d689,r188,0.0754
d689,r570,0.0521
d689,r578,0.0535
d689,r6521,0.0776
d689,t45515a,0.0569
d689,z515,0.0518
d693,o9912,0.0611
d693,z862,0.0582
d693,z9081,0.0625
d6959,e8339,0.0506
d6959,e8342,0.0532
d6959,e872,0.0528
d6959,e8809,0.052
d6959,f10239,0.063
d6959,i8510,0.0703
d6959,k3189,0.0808
d6959,k7010,0.0683
d6959,k7030,0.1254
d6959,k7031,0.1274
d6959,k7200,0.0518
d6959,k7290,0.1161
d6959,k7460,0.1062
d6959,k7581,0.0513
d6959,k766,0.1979
d6959,n170,0.054
d6959,r188,0.0671
d6959,r6521,0.0667
d6959,t451x5a,0.1338
d696,e039,0.0581
d696,e1122,0.0838
d696,e1165,0.0631
d696,e43,0.0509
d696,e785,0.0604
d696,e8339,0.0766
d696,e8342,0.0957
d696,e8351,0.0534
d696,e860,0.0647
d696,e870,0.0723
d696,e871,0.0978
d696,e872,0.1168
d696,e875,0.0858
d696,e876,0.0907
d696,e8770,0.0597
d696,g4733,0.0547
d696,g92,0.0516
d696,g9341,0.094
d696,i10,0.0509
d696,i110,0.0632
d696,i120,0.0528
d696,i129,0.0662
d696,i130,0.072
d696,i2510,0.0752
d696,i252,0.0526
d696,i2720,0.0674
d696,i480,0.0755
d696,i4820,0.0504
d696,i4891,0.0646
d696,i959,0.0767
d696,j189,0.0646
d696,j449,0.0557
d696,j690,0.0575
d696,j90,0.0641
d696,j9601,0.0885
d696,j9621,0.0546
d696,j9811,0.0637
d696,k219,0.0547
d696,k7030,0.0537
d696,k7290,0.0584
d696,k7460,0.0832
d696,k766,0.0853
d696,n170,0.0812
d696,n179,0.0965
d696,n186,0.0865
d696,n189,0.0575
d696,n390,0.066
d696,n400,0.0607
d696,r188,0.0617
d696,r6521,0.0953
d696,r739,0.0515
d696,z20828,0.0597
d696,z515,0.0808
d696,z66,0.0935
d696,z7901,0.0635
d696,z794,0.057
d696,z7982,0.0595
d696,z79899,0.0567
d696,z87891,0.0602
