Source,Target,Weight20192,Weight20201,Weight20202
c169,c786,0.0539,0.0665,0.0355
c169,k311,0.0557,0.0553,0.0519
c169,r180,0.0589,0.0595,0.0541
c169,z903,0.1018,0.0769,0.0418
c170,z85068,0.057999999999999996,,0.0268
c179,n4289,0.0571,,
c179,z85068,0.0735,0.0651,0.0456
c183,k9131,0.0597,,
c189,c7800,0.0556,0.0981,0.0701
c189,c786,0.0694,0.0635,0.0579
c189,c787,0.0952,0.1091,0.0975
c189,c799,0.0519,0.0361,0.0588
c19,c7800,0.0547,0.0424,0.0493
c19,c787,0.0665,0.0534,0.0577
c20,z933,0.055999999999999994,0.0324,0.0557
c210,g541,0.0589,,
c210,h938x1,0.057999999999999996,,
c211,c763,0.0784,,
c211,l03316,0.0687,,
c220,i81,0.1181,0.1279,0.1346
c220,i8500,0.0504,0.0504,0.0406
c220,i8510,0.0652,0.0745,0.0762
c220,k7031,0.0554,0.0442,0.0428
c220,k7290,0.0581,0.0719,0.0694
c220,k7460,0.0515,0.053,0.046
c220,k7469,0.0633,0.0698,0.0701
c220,k766,0.057999999999999996,0.0687,0.0635
c220,k767,0.0607,0.0792,0.0576
c221,c23,0.0535,0.0546,0.0424
c221,c772,0.0605,0.0397,0.0212
c221,k8309,0.12300000000000001,0.1002,0.1155
c221,k831,0.071,0.0611,0.0677
c227,k08409,0.0571,,
c227,s22088d,0.0539,,
c23,z8509,0.0746,0.051,0.0497
c250,c784,0.0515,0.0224,0.0472
c250,k315,0.0693,0.0764,0.105
c250,k8309,0.0636,0.0606,0.067
c250,k831,0.0639,0.0758,0.0793
c257,t85618a,0.0536,,
c258,e0865,0.0552,,
c259,c787,0.0927,0.095,0.1172
c259,g893,0.0605,0.0542,0.0471
c259,k8309,0.0637,0.0592,0.0633
c259,k831,0.0655,0.0888,0.0528
c259,k8681,0.077,0.0518,0.055
c259,r180,0.0687,0.0702,0.0879
c259,z8507,0.0526,0.0389,0.0435
c259,z90411,0.1009,0.0985,0.0773
c269,i63413,0.07400000000000001,,
c269,r948,0.0599,,
c300,l03818,0.0687,,
c300,z8522,0.0702,,
c320,c7839,0.1036,,
c320,e0591,0.0555,,
c320,k9181,0.076,,
c321,c7839,0.0645,0.0359,
c321,j988,0.0611,,0.0111
c329,j392,0.0541,0.0295,
c3411,c771,0.0543,0.0675,0.08800000000000001
c3411,j95811,0.0639,0.0422,0.0632
c3412,c771,0.0512,0.0536,0.0521
c342,z5332,0.0558,0.0258,
c3431,c771,0.0617,0.0585,0.0746
c3481,c3482,0.2339,0.2383,
c3481,h353190,0.0536,,
c3482,c7839,0.051,,
c3490,c787,0.0794,0.0781,0.0761
c3490,c7931,0.2214,0.2003,0.1806
c3490,c7951,0.1221,0.1315,0.122
c3490,c799,0.0533,0.0581,0.0564
c3490,d61810,0.0529,0.0456,0.0498
c3490,d630,0.0549,0.0549,0.0593
c3490,g893,0.0638,0.0498,0.0626
c3490,j910,0.0926,0.1068,0.1074
c3490,t451x5a,0.0685,0.0664,0.0572
c3490,z9221,0.0642,0.0587,0.0494
c3490,z923,0.0589,0.065,0.0509
c3491,c3492,0.14,0.1876,0.1336
c37,i82a13,0.0784,,
c4001,e7209,0.0911,,
c4001,r81,0.0846,,
c4021,m84451a,0.0958,0.1204,
c4021,z5112,0.0598,0.0309,
c4022,e7209,0.0583,0.0154,
c4022,h918x3,0.0682,0.0299,
c4022,k1231,0.0533,0.0241,0.0383
c4022,z5111,0.0742,0.069,0.0364
c411,c44329,0.0867,,0.0389
c411,i82721,0.0563,,
c411,m96830,0.0657,,
c412,m8458xd,0.121,,
c419,g589,0.0551,0.0461,
c434,c4359,0.0862,,
c434,z89202,0.0508,,
c4359,c4372,0.0526,,
c4372,c774,0.0648,0.0319,
c4372,e2609,0.0556,,
c4372,z85848,0.054000000000000006,,
c44310,c4441,0.0799,,
c44319,c44519,0.0822,,0.1538
c44320,c7839,0.0518,,
c44320,e2609,0.067,,
c44320,s43005a,0.0597,,
c4440,g130,0.075,,
c4441,d480,0.0799,,
c4441,i060,0.0769,,
c4441,s83242a,0.083,,
c4441,s83282a,0.0593,,
c4441,z1620,0.0712,,
c4441,z85821,0.0712,,
c44519,c44529,0.0632,,
c44519,l720,0.0632,,
c44519,m1380,0.0564,,
c44529,l720,0.05,,
c44529,q0703,0.0585,,
c44529,s12030a,0.0606,,
c44529,s24104s,0.05,,
c44529,z1211,0.0579,,
c450,i445,0.054000000000000006,,
c450,i6319,0.0644,,
c450,i950,0.0599,,
c451,c457,0.0665,,
c469,c84a0,0.0608,,
c469,z209,0.0608,,
c479,c495,0.1248,0.1616,
c479,l813,0.0548,,
c479,q8501,0.1015,0.1441,
c480,c495,0.0796,0.0371,0.0365
c481,c762,0.0542,,
c481,c763,0.0689,,
c482,c561,0.0555,0.0136,
c490,l598,0.0638,,
c493,c495,0.0539,,
c493,c761,0.1104,,
c494,c496,0.0593,,
c495,r1904,0.0588,,
c496,k716,0.0535,,
c49a2,c8300,0.0702,,
c4a9,g130,0.0728,,
c4a9,q2572,0.0555,,
c4a9,s9001xa,0.0644,,
c50012,h00019,0.0784,,
c50111,h40052,0.0689,,
c50112,c7932,0.0515,,
c50112,i69851,0.0548,,
c50211,n6459,0.0909,,
c50411,c773,0.0726,0.0115,
c50411,z170,0.0598,0.0453,0.0515
c50412,c7932,0.0591,,
c50412,z4001,0.0579,0.0585,
c50512,z4001,0.051,,
c50812,d611,0.068,,
c50812,s24103a,0.068,,
c50911,c50912,0.1085,0.1051,0.1017
c50911,c773,0.083,0.0788,0.0636
c50911,z1501,0.0537,0.0457,0.016
c50911,z170,0.1638,0.1654,0.0972
c50911,z171,0.1086,0.0928,0.1175
c50911,z79811,0.0777,0.0628,0.1173
c50911,z9011,0.0826,0.0881,0.10400000000000001
c50911,z9013,0.0521,0.0437,0.0379
c50912,c773,0.0776,0.0946,0.0953
c50912,z170,0.1852,0.1789,0.1897
c50912,z171,0.0724,0.12300000000000001,0.1433
c50912,z79811,0.0573,0.0741,0.0906
c50912,z9012,0.0832,0.0759,0.0937
c50912,z9013,0.0564,0.0344,0.0434
c50919,c7800,0.0639,0.0471,0.0623
c50919,c787,0.0562,0.0612,0.0514
c50919,c7951,0.1081,0.0917,0.0985
c50919,j910,0.0516,0.0606,0.0519
c50919,z170,0.0778,0.0833,0.0923
c50919,z79811,0.0958,0.1241,0.1659
c50919,z9010,0.0571,0.0461,0.0467
c50919,z9013,0.0803,0.0809,0.0978
c519,c774,0.0975,0.0499,0.0771
c52,n828,0.0513,,
c52,q928,0.0626,0.1435,
c530,n882,0.0654,,
c539,c775,0.0541,0.0368,0.027000000000000003
c541,n950,0.0979,0.1011,0.14
c561,c562,0.3081,0.4079,0.3527
c561,c785,0.0961,0.0743,0.0741
c561,c7982,0.0721,0.0443,0.0788
c562,c775,0.0668,0.0289,0.0175
c562,c785,0.0989,0.0952,0.0638
c562,c786,0.0627,0.0484,0.0452
c562,c7982,0.0506,0.1075,0.0743
c562,z1509,0.0705,0.0874,
c569,c785,0.057,0.0496,0.0334
c569,c786,0.1398,0.1273,0.1288
c569,r180,0.1229,0.1142,0.1076
c569,z90722,0.0544,0.0567,0.0733
c609,z8549,0.2151,0.0523,
c61,c7951,0.1845,0.196,0.192
c61,z8042,0.0509,0.0406,0.0325
c6291,i82503,0.0518,,
c6292,l738,0.0962,,
c651,c661,0.0866,0.0905,0.1
c651,l89523,0.0523,,
c652,c762,0.0564,,
c661,z8550,0.0518,,
c671,c672,0.055999999999999994,,
c671,h468,0.07400000000000001,,
c672,c674,0.1534,,0.0667
c674,n9981,0.0687,,
c679,z906,0.0653,0.0391,0.0326
c679,z936,0.0752,0.0598,0.0595
c680,i621,0.0584,,
c680,z8559,0.0629,,
