,0,1,2,3,4,5
z89422,-0.49312493,0.51035607,1.3196342,-1.2651907,-0.72398704,-2.1220438
z89421,-0.41079092,0.42119658,1.3640709,-1.1405051,-0.73899335,-2.1845076
i5022,0.59941494,-0.05988934,3.1960034,-1.4568949,-5.196032,-2.5654643
i255,1.1486624,0.32657194,3.839243,-1.9762803,-6.162269,-3.0806024
z95810,1.071947,0.30240455,3.8541517,-1.9732425,-6.123952,-3.0098536
i5023,1.3029027,0.45426655,4.2028885,-2.1853166,-6.645993,-3.3351731
z7901,-0.2920854,-1.2693272,3.256241,-2.767572,-3.0562243,-1.6486797
t3111,-2.4376087,1.6639296,2.128083,-3.041297,1.2046965,-1.5015295
t2132xa,-2.200889,1.2793604,2.1080499,-3.2953525,0.8345203,-1.2513164
s32059a,-3.7659202,-2.065163,4.7468376,1.5882432,-2.2254872,-5.823417
s32049a,-4.332968,-2.3314583,5.486425,1.8226626,-2.5226758,-6.747118
s32029a,-4.2277246,-2.2685277,5.370496,1.7893113,-2.4732194,-6.60587
s32019a,-4.1029105,-2.214031,5.197244,1.7411273,-2.4071574,-6.378521
s32039a,-4.229206,-2.2829883,5.3647037,1.7891032,-2.4854589,-6.583215
e1065,4.373338,1.2544507,0.22577137,-3.1744134,-0.46770844,-5.2577553
e1022,4.1912208,1.2067455,0.11817845,-3.0589104,-0.5002383,-5.062715
e10319,4.6250505,1.3276794,0.42602473,-3.0587533,-0.4726252,-5.432906
e10649,4.3329434,1.2371012,0.22809869,-3.110492,-0.44117424,-5.183144
e1021,4.6900997,1.3522711,0.39646825,-3.1290905,-0.4991301,-5.5422463
e1042,3.6000888,1.3025007,-0.7006686,-2.6981757,-0.6287925,-5.0296063
i96,-0.6850287,0.76571476,7.228095,0.17915288,1.4157733,-4.272709
e1152,-0.7413278,0.8411941,7.101602,0.12040402,1.5156308,-4.1382747
e1169,-1.0367357,1.2349681,6.010369,-0.058446154,1.950296,-3.6965632
e11621,-1.3831403,1.7785743,6.0496874,-0.40751246,2.325307,-3.6721172
m868x7,-1.0381979,1.2285404,6.0660334,-0.08240673,1.9575378,-3.7055452
e1142,-1.433599,1.8397117,6.0321817,-0.45665553,2.3511498,-3.6869462
m869,-1.037535,1.2160139,6.1024,-0.067402445,1.965111,-3.7535655
l97519,-1.2910506,1.6403551,6.0007567,-0.3065099,2.2005286,-3.6668808
m62561,7.2079716,4.1240506,3.99972,-0.93608284,0.5161484,-9.327324
m62562,7.2715945,4.149437,4.007505,-0.91577566,0.5482127,-9.354748
s12590d,0.05128429,6.6723657,2.7665246,-0.65530634,5.658754,-9.408721
s12690d,0.04911908,6.6921186,2.7760255,-0.65448177,5.7034597,-9.438635
o99513,-5.2397804,-0.5819416,-1.7504857,-2.2207077,1.8779072,-8.987484
o99343,-5.8011656,-0.64781904,-1.9184747,-2.456451,2.0489287,-10.003396
o99353,-5.2181096,-0.591742,-1.751067,-2.2104757,1.887252,-8.933026
i69112,2.8672163,-2.7104666,1.6878662,-2.9454036,-0.10835931,-5.7316813
i69114,2.9362292,-3.0778787,1.7575144,-3.446819,-0.25619176,-6.182712
i69110,2.9641683,-3.034151,1.7401521,-3.3992918,-0.22849992,-6.1387725
e1165,-0.3225731,-2.045534,2.5411282,-0.96660715,-2.6080873,-2.4766805
m5441,1.1853753,-3.0311809,7.2007365,-5.6749687,3.5542605,-7.151532
m5442,1.1865995,-3.0288074,7.1973877,-5.671512,3.5505712,-7.1327257
s52501b,-0.09323042,1.2023818,0.9108519,-1.1339954,-0.7577728,-2.4653795
s52601b,-0.07194505,1.200354,0.8922257,-1.147583,-0.5632808,-2.4046192
s22089d,-4.70554,1.0246964,-0.8801769,-2.9034503,-4.9347825,-4.2843637
s32019d,-5.214554,1.1527911,-0.9557235,-3.2253227,-5.4788604,-4.801695
s32039d,-5.1568346,1.1449711,-0.9549183,-3.2016819,-5.4238577,-4.762276
s32029d,-5.1660576,1.1510724,-0.9411318,-3.209498,-5.441136,-4.762236
s32049d,-5.2070127,1.1541531,-0.97331053,-3.2209983,-5.4778357,-4.7846255
s32059d,-5.0537333,1.1097054,-0.93467873,-3.1150508,-5.309139,-4.632897
s82401d,-6.2914267,-4.177181,1.5095419,-1.994408,1.9219679,-10.721299
s82201d,-6.278234,-4.1742387,1.4983828,-1.9912508,1.9156301,-10.699978
s92321a,-1.974531,0.17652231,-3.0540335,-3.4390938,-6.475219,-7.3294125
s92341a,-2.0607646,0.2080865,-3.1916218,-3.59596,-6.7811184,-7.6735115
s92331a,-2.08316,0.20133801,-3.2120297,-3.6506615,-6.835322,-7.749484
s92351a,-1.8050686,0.16203661,-2.8192317,-3.1404183,-5.960734,-6.7201858
z961,5.011355,1.0243096,3.49559,-5.295109,-6.099571,-4.9518275
z9841,5.0106444,1.0471439,3.5058699,-5.277806,-6.104181,-4.9540725
z9842,5.0132236,1.0443405,3.4956048,-5.261678,-6.092992,-4.9355073
s32501a,-7.46157,-2.382951,5.7029343,-3.8036735,1.6917783,-6.3910947
s32502a,-7.493984,-2.3976822,5.718054,-3.8107593,1.7170862,-6.3994584
i69320,-4.1160345,5.534336,3.1165545,-2.3978283,-5.1720085,-2.611817
